央视频道,#genre#
岭南戏曲,http://183.10.180.11:9901/tsfile/live/1053_1.m3u8?key=txiptv
其他频道,#genre#
IPTV-热播剧场,http://183.10.180.11:9901/tsfile/live/1066_1.m3u8?key=txiptv
IPTV6,http://183.10.180.11:9901/tsfile/live/1081_1.m3u8?key=txiptv
iptv法治,http://183.10.180.11:9901/tsfile/live/1091_1.m3u8?key=txiptv
iptv野外,http://183.10.180.11:9901/tsfile/live/1000_1.m3u8?key=txiptv
中国气象,http://183.10.180.11:9901/tsfile/live/1022_1.m3u8?key=txiptv
嘉佳卡,http://183.10.180.11:9901/tsfile/live/1075_1.m3u8?key=txiptv
少儿动画,http://183.10.180.11:9901/tsfile/live/1077_1.m3u8?key=txiptv
广东民生,http://183.10.180.11:9901/tsfile/live/1030_1.m3u8?key=txiptv
深圳龙岗,http://183.10.180.11:9901/tsfile/live/1069_1.m3u8?key=txiptv
